Depth,ScanRows,ScanColumns,ScanLargest,BuildSquare,SpiralIn,SpiralInSquare,SpiralOut,SpiralOutSquare,FrameFirstRows,FrameFirstColumns,FrameLastRows,FrameLastColumns
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6020599913279623,0.6020599913279623,0.6020599913279623,0.6020599913279623,0.6020599913279623,0.6020599913279623,2.8943160626844247,2.8943160626844247,0.6020599913279623,0.6020599913279623,2.8943160626844247,2.8943160626844247
2,1.5720967679505116,1.5720967679505116,1.5720967679505116,1.5720967679505116,1.5720967679505116,1.5720967679505116,4.547750362734878,4.547750362734878,1.5720967679505116,1.5720967679505116,4.547750362734878,4.547750362734878
3,2.534931566550794,2.534931566550794,2.534931566550794,2.534931566550794,2.534931566550794,2.534931566550794,6.19897127314168,6.19897127314168,2.534931566550794,2.534931566550794,6.19897127314168,6.19897127314168
4,3.4904210714160246,3.4904210714160246,3.4904210714160246,2.95194651574384,3.4904210714160246,3.4904210714160246,6.609365069205104,6.609365069205104,3.4904210714160246,3.4904210714160246,7.847967164787219,7.847967164787219
5,4.438417617754528,4.438417617754528,4.438417617754528,3.9074360206090706,4.438417617754528,4.438417617754528,8.256143418279564,8.256143418279564,4.438417617754528,4.438417617754528,9.494726289236588,9.494726289236588
6,5.378768907426043,5.378768907426043,5.378768907426043,4.3223071190271956,5.378768907426043,5.378768907426043,8.662128357712518,8.662128357712518,5.378768907426043,5.378768907426043,11.13923677685527,11.13923677685527
7,6.311317704369046,6.311317704369046,6.311317704369046,5.270303665365699,6.311317704369046,6.311317704369046,10.3044162276545,10.3044162276545,6.311317704369046,6.311317704369046,12.781486634887806,12.781486634887806
8,7.235901507995855,7.235901507995855,7.235901507995855,5.683018781418593,7.235901507995855,7.235901507995855,10.705943121719152,10.705943121719152,7.235901507995855,7.235901507995855,14.421463745494535,14.421463745494535
9,8.152352202557445,8.152352202557445,8.152352202557445,6.093565674521049,8.152352202557445,8.152352202557445,11.105240883282988,11.105240883282988,8.152352202557445,8.152352202557445,16.059155863747392,16.059155863747392
10,9.060495680181553,9.060495680181553,9.060495680181553,7.033916964192564,9.060495680181553,9.060495680181553,12.740710288848682,12.740710288848682,9.060495680181553,9.060495680181553,17.694550615585,17.694550615585
11,9.960151434953538,9.960151434953538,9.960151434953538,7.442283282787471,9.960151434953538,9.960151434953538,13.135474116528016,13.135474116528016,9.960151434953538,9.960151434953538,19.32763549572116,19.32763549572116
12,10.851132125035221,10.851132125035221,10.851132125035221,7.84845656233535,10.851132125035221,10.851132125035221,13.52796987992103,13.52796987992103,10.851132125035221,10.851132125035221,20.958397865509177,20.958397865509177
13,11.733243099394066,11.733243099394066,11.733243099394066,8.781005359278353,11.733243099394066,11.733243099394066,15.156506943324473,15.156506943324473,11.733243099394066,11.733243099394066,22.58682495076181,22.58682495076181
14,12.606281885234083,12.606281885234083,12.606281885234083,9.184973020208602,12.606281885234083,12.606281885234083,15.544390572312409,15.544390572312409,12.606281885234083,12.606281885234083,24.21290383952141,24.21290383952141
15,13.47003763166979,13.47003763166979,13.47003763166979,9.58672236583223,13.47003763166979,13.47003763166979,15.92996603231478,15.92996603231478,13.47003763166979,13.47003763166979,25.83662147978268,25.83662147978268
16,13.1781624688727,13.1781624688727,13.1781624688727,9.986240580214698,13.1781624688727,13.1781624688727,16.313219578612163,16.313219578612163,13.1781624688727,13.1781624688727,26.219587596102244,26.219587596102244
17,14.033148424612001,14.033148424612001,14.033148424612001,10.910824383841508,14.033148424612001,14.033148424612001,17.932335956616868,17.932335956616868,14.033148424612001,14.033148424612001,26.600220466324288,26.600220466324288
18,14.450163373805047,14.450163373805047,14.878420619658144,11.308098529635537,14.878420619658144,14.878420619658144,18.310869137881497,18.310869137881497,14.878420619658144,14.878420619658144,26.978506036561726,26.978506036561726
19,14.865034472223172,14.865034472223172,15.713741145056503,11.703115545870752,15.713741145056503,15.713741145056503,18.687038640859754,18.687038640859754,15.713741145056503,15.713741145056503,27.354430110887904,27.354430110887904
20,15.277749588276066,15.277749588276066,16.53886108915478,12.095862245701944,16.53886108915478,16.53886108915478,19.060830152097623,19.060830152097623,16.53886108915478,16.53886108915478,27.727978348677865,27.727978348677865
21,15.688296481378522,15.688296481378522,17.353519690155302,13.012312940263534,17.353519690155302,17.353519690155302,20.670307529715643,20.670307529715643,17.353519690155302,17.353519690155302,28.09913626189133,28.09913626189133
22,16.09666279997343,16.09666279997343,18.15744340353787,13.402776008672411,18.15744340353787,18.15744340353787,21.03926581938873,21.03926581938873,18.15744340353787,18.15744340353787,28.46788921230049,28.46788921230049
23,16.50283607952131,16.50283607952131,18.95034487300118,13.790942000125689,18.95034487300118,18.95034487300118,21.40580257000704,21.40580257000704,18.95034487300118,18.95034487300118,28.834222408656416,28.834222408656416
24,16.906803740451558,16.906803740451558,19.731921791716033,14.176797336184087,19.731921791716033,19.731921791716033,21.769902856421993,21.769902856421993,19.731921791716033,19.731921791716033,29.198120903797218,29.198120903797218
25,17.308553086075186,17.308553086075186,20.50185563846307,14.560328303065297,20.50185563846307,20.50185563846307,22.131551594287913,22.131551594287913,20.50185563846307,20.50185563846307,29.55956959169157,29.55956959169157
26,17.708071300457654,17.708071300457654,21.25981027055621,15.468471780689406,21.25981027055621,21.25981027055621,23.7286624589716,23.7286624589716,21.25981027055621,21.25981027055621,29.918553204419425,29.918553204419425
27,18.105345446251683,18.105345446251683,22.005430352221858,15.849664526779485,22.005430352221858,22.005430352221858,24.085329773235486,24.085329773235486,22.005430352221858,22.005430352221858,30.27505630908388,30.27505630908388
28,18.500362462486898,18.500362462486898,22.738339593173876,16.228505060095095,22.738339593173876,22.738339593173876,24.439499575672272,24.439499575672272,22.738339593173876,22.738339593173876,30.629063304655944,30.629063304655944
29,18.89310916231809,18.89310916231809,23.458138767315617,16.60497924569014,23.458138767315617,23.458138767315617,24.791156110979045,24.791156110979045,23.458138767315617,23.458138767315617,32.218487340673335,32.218487340673335
30,19.283572230726968,19.283572230726968,24.164403475581047,16.97907280301029,24.164403475581047,24.164403475581047,25.140283448942,25.140283448942,24.164403475581047,24.164403475581047,32.5674222047065,32.5674222047065
31,19.671738222180245,19.671738222180245,23.710553573911575,17.878728557782274,23.710553573911575,23.710553573911575,26.724650653273926,26.724650653273926,24.856681609589813,24.856681609589813,32.91381339056963,32.91381339056963
32,19.278863802631733,19.278863802631733,24.12756852310462,18.250427057963016,24.40415669513858,24.40415669513858,27.068639881243115,27.068639881243115,25.53449046363359,25.53449046363359,33.25764458836443,33.25764458836443
33,20.114184328030092,20.114184328030092,24.542439621522746,18.61971592107117,25.08337007868714,25.08337007868714,27.410051298452714,27.410051298452714,26.197313430993972,26.197313430993972,33.59889930322748,33.59889930322748
34,20.500073960891257,20.500073960891257,24.95515473757564,18.986580413284806,25.747686192980964,25.747686192980964,27.748868237434152,27.748868237434152,26.84459620598902,26.84459620598902,33.93756085171603,33.93756085171603
35,20.883638926169226,20.883638926169226,25.365701630678096,19.351005644014954,26.396561148419494,26.396561148419494,28.08507383820421,28.08507383820421,27.47574239446712,27.47574239446712,34.273612358108835,34.273612358108835
36,21.264865375932743,21.264865375932743,25.774067949273004,19.712976562962076,27.029410570997115,27.029410570997115,28.418651044481976,28.418651044481976,28.090108411350727,28.090108411350727,34.60703675061788,34.60703675061788
37,21.643739321825905,21.643739321825905,26.180241228820883,20.603957253043767,27.645604827218932,27.645604827218932,29.98719930995128,29.98719930995128,28.68699751237716,28.68699751237716,34.937816757511655,34.937816757511655
38,22.020246632475875,22.020246632475875,26.58420888975113,20.963458647191224,28.24446346663109,28.24446346663109,30.315437941929645,30.315437941929645,29.265652765701027,29.265652765701027,35.26593490314292,35.26593490314292
39,22.39437303084881,22.39437303084881,26.98595823537476,21.320475137731442,28.82524871366035,28.82524871366035,30.640996037724506,30.640996037724506,29.82524871366035,29.82524871366035,35.591373503882096,35.591373503882096
40,22.766104091548527,22.766104091548527,27.385476449757228,21.67499117692264,29.38715779486568,29.38715779486568,30.963855713290798,30.963855713290798,30.36488140015453,30.36488140015453,35.91411466394925,35.91411466394925
41,23.135425238057906,23.135425238057906,27.782750595551256,22.02699104487595,29.929313826991716,29.929313826991716,31.283998867990988,31.283998867990988,30.88355633643104,30.88355633643104,36.234140271144156,36.234140271144156
42,23.502321739921427,23.502321739921427,28.17776761178647,22.376458846269422,30.45075490940495,30.45075490940495,31.601407180222452,31.601407180222452,31.380173835119237,31.380173835119237,36.551431992471464,36.551431992471464
43,23.8667787098656,23.8667787098656,28.570514311617664,23.25856982062826,30.950420952898043,30.950420952898043,33.153517828337385,33.153517828337385,31.853510939889986,31.853510939889986,38.10348470034472,38.10348470034472
44,24.22878110085776,24.22878110085776,28.96097738002654,23.605489481343085,31.42713762271707,31.42713762271707,33.46537208044401,33.46537208044401,32.30219888610877,32.30219888610877,38.41522377544993,38.41522377544993
45,24.588313703100113,24.588313703100113,29.34914337147982,23.94984474502658,31.87959655814703,31.87959655814703,33.77443538291084,33.77443538291084,31.87959655814703,31.87959655814703,38.72417282975573,38.72417282975573
46,24.945361140955583,24.945361140955583,28.80459987811217,24.291619169570453,31.16020269015698,31.16020269015698,34.08068848163555,34.08068848163555,32.306330725835224,32.306330725835224,39.0303125983379,39.0303125983379
47,25.29990786980713,25.29990786980713,29.190489510973336,24.630796123511374,31.591739973458914,31.591739973458914,34.38411187800273,34.38411187800273,32.70568332576575,32.70568332576575,39.33362357191561,39.33362357191561
48,24.88735073594168,24.88735073594168,29.574054476251305,24.967358782341563,31.996586780438847,31.996586780438847,34.68468582379313,34.68468582379313,33.07576802648647,33.07576802648647,39.634085991759434,39.634085991759434
49,25.70200933694221,25.70200933694221,29.955280926014822,25.301290124734436,32.373024646104454,32.373024646104454,34.98239031596091,34.98239031596091,33.41441733126268,33.41441733126268,39.93167984446592,39.93167984446592
50,26.054069948913963,26.054069948913963,30.334154871907984,26.17432891057446,32.71911430050642,32.71911430050642,36.51447956071016,36.51447956071016,33.71911430050642,33.71911430050642,40.226384856592205,40.226384856592205
51,26.403597992736337,26.403597992736337,30.710662182557954,26.50561171451939,33.03265752349901,33.03265752349901,36.80635702716424,36.80635702716424,33.98690003293834,33.98690003293834,40.518180489149444,40.518180489149444
52,26.750577400245987,26.750577400245987,31.08478858093089,26.834228553361882,33.31115354641517,33.31115354641517,37.095303659792876,37.095303659792876,34.214243533407114,34.214243533407114,40.80704593194736,40.80704593194736
53,27.094991920956062,27.094991920956062,31.456519641630607,27.160161791747853,33.55174907911892,33.55174907911892,37.38129837875181,37.38129837875181,34.39684711913317,34.39684711913317,41.09296009778495,41.09296009778495
54,27.436825118540725,27.436825118540725,31.825840788139985,27.483393581468604,33.75117446864972,33.75117446864972,37.664319821112514,37.664319821112514,34.529325719033366,34.529325719033366,41.375901616482594,41.375901616482594
55,27.776060367232247,27.776060367232247,32.19273729000351,27.8039058572012,33.90563215540867,33.90563215540867,37.94434633473358,37.94434633473358,34.60460215974469,34.60460215974469,41.65584882875177,41.65584882875177
56,28.112680848135852,28.112680848135852,32.55719425994768,28.121680332144265,34.01051791573465,34.01051791573465,38.22135597195964,38.22135597195964,34.612577907062615,34.612577907062615,41.93277977989109,41.93277977989109
57,28.44666954545673,28.44666954545673,32.91919665093984,28.98543607857998,34.05960551531783,34.05960551531783,39.73242877228421,39.73242877228421,34.53672677003749,34.53672677003749,43.44381346572311,43.44381346572311
58,28.77800924263468,28.77800924263468,33.27872925318219,29.300454239979373,34.04259224365887,34.04259224365887,40.00331187328641,40.00331187328641,34.343622239322855,34.343622239322855,43.71461879054789,43.71461879054789
59,29.10668251838669,29.10668251838669,33.63577669103766,29.61269734453934,33.937057814009606,33.937057814009606,40.27111061328034,40.27111061328034,33.937057814009606,33.937057814009606,43.982340352454884,43.982340352454884
60,29.432671742652616,29.432671742652616,33.07728243463289,29.92214641371673,33.67048332771114,33.67048332771114,40.53580179372511,40.53580179372511,33.67048332771114,33.67048332771114,44.246954946202095,44.246954946202095
61,29.755959072439992,29.755959072439992,33.43185972547404,30.22878222889601,34.087498276904185,34.087498276904185,40.79736188631739,40.79736188631739,34.087498276904185,34.087498276904185,44.508439036880986,44.508439036880986
62,30.07652644756726,30.07652644756726,33.78392033744579,30.532585326435637,34.50236937532231,34.50236937532231,41.055767025531736,41.055767025531736,34.50236937532231,34.50236937532231,44.766768752454595,44.766768752454595
63,30.394355586300463,30.394355586300463,34.13344838126817,30.83353599258855,34.915084491375204,34.915084491375204,41.310993000942375,41.310993000942375,34.915084491375204,34.915084491375204,45.02191987607668,45.02191987607668
64,29.961018388462847,29.961018388462847,34.48042778877782,31.13161425828575,35.32563138447766,35.32563138447766,41.56301524931408,41.56301524931408,35.32563138447766,35.32563138447766,45.27386783818346,45.27386783818346
65,30.75391985792615,30.75391985792615,34.82484230948789,31.985867131166913,35.73399770307257,35.73399770307257,43.048722899916726,43.048722899916726,35.73399770307257,35.73399770307257,45.522587708349846,45.522587708349846
66,31.069019209156266,31.069019209156266,35.166675507072554,32.28105276666318,36.14017098262045,36.14017098262045,43.29423825263231,43.29423825263231,36.14017098262045,36.14017098262045,45.76805418690046,45.76805418690046
67,31.38134286683757,31.38134286683757,35.50591075576408,32.57332527604032,36.544138643550696,36.544138643550696,43.536474170452664,43.536474170452664,36.544138643550696,36.544138643550696,46.01024159626712,46.01024159626712
68,31.690871859678026,31.690871859678026,35.84253123666768,32.86266389156367,36.945887989174324,36.945887989174324,43.77540459301045,43.77540459301045,36.945887989174324,36.945887989174324,46.24912387207988,46.24912387207988
69,31.997586976209192,31.997586976209192,36.17651993398856,33.149047567880984,37.34540620355679,37.34540620355679,44.011003063899864,44.011003063899864,37.34540620355679,37.34540620355679,46.48467455398628,46.48467455398628
70,32.30146875983556,32.30146875983556,36.50785963116651,33.43245497606537,37.74268034935082,37.74268034935082,44.24324272120964,44.24324272120964,37.74268034935082,37.74268034935082,46.71686677618379,46.71686677618379
71,32.6024975037536,32.6024975037536,36.83653290691852,33.71286449749428,38.137697365586035,38.137697365586035,44.47209628776082,44.47209628776082,38.137697365586035,38.137697365586035,48.18247937771949,48.18247937771949
72,32.90065324573939,32.90065324573939,37.162522131184446,33.99025421755428,38.53044406541723,38.53044406541723,44.69753606103359,44.69753606103359,38.53044406541723,38.53044406541723,48.40784891313774,48.40784891313774
73,33.19591576279623,33.19591576279623,37.48580946097182,34.83477473961538,38.920907133826105,38.920907133826105,46.15627004187331,46.15627004187331,38.920907133826105,38.920907133826105,48.62977703219576,48.62977703219576
74,33.48826456565928,33.48826456565928,36.91281010790699,35.10912244123706,38.07092651068473,38.07092651068473,46.37477438075899,46.37477438075899,38.07092651068473,38.07092651068473,48.84823514464068,48.84823514464068
75,33.777678893151545,33.777678893151545,37.233404869066035,35.380405598240316,38.45681614354589,38.45681614354589,46.58977932830717,46.58977932830717,38.45681614354589,38.45681614354589,49.06319420276171,49.06319420276171
76,34.064137706386504,34.064137706386504,37.55126117790594,35.648601368493104,38.84038110882386,38.84038110882386,46.801255371515396,46.801255371515396,38.84038110882386,38.84038110882386,49.274624689951594,49.274624689951594
77,34.34761968281208,34.34761968281208,37.86636052913606,35.91368658687543,39.22160755858738,39.22160755858738,47.00917251662054,47.00917251662054,39.22160755858738,39.22160755858738,49.48249660889098,49.48249660889098
78,34.62810321008999,34.62810321008999,38.178684186817364,36.17563775803592,39.60048150448054,39.60048150448054,47.21350027689144,47.21350027689144,39.60048150448054,39.60048150448054,49.68677946934102,49.68677946934102
79,34.90556637980518,34.90556637980518,38.48821317965782,36.43443104894112,39.97698881513051,39.97698881513051,47.414207660010845,47.414207660010845,39.97698881513051,39.97698881513051,49.88744227552553,49.88744227552553
80,34.45025354475604,34.45025354475604,38.794928296188985,36.6900422812017,40.35111521350345,40.35111521350345,47.61126315503188,47.61126315503188,40.35111521350345,40.35111521350345,50.08445351308498,50.08445351308498
81,35.220187391503075,35.220187391503075,39.09881007981535,36.94244692317429,40.722846274203164,40.722846274203164,47.804634718888195,47.804634718888195,40.722846274203164,40.722846274203164,50.277781135586764,50.277781135586764
82,35.49463211103286,35.49463211103286,39.39983882373339,37.7769952528287,41.09216742071254,41.09216742071254,49.23083572235427,49.23083572235427,41.09216742071254,41.09216742071254,50.46739255056977,50.46739255056977
83,35.76601156251286,35.76601156251286,39.697994565719185,38.026168411480825,41.459063922576064,41.459063922576064,49.416719474902806,49.416719474902806,41.459063922576064,41.459063922576064,50.6532546051038,50.6532546051038
84,36.03430291170437,36.03430291170437,39.993257082776026,38.27208482401002,41.823520892520236,41.823520892520236,49.59881998511554,49.59881998511554,41.823520892520236,41.823520892520236,50.835333570842465,50.835333570842465
85,36.29948300127097,36.29948300127097,40.28560588563907,38.514718849208634,42.185523283512396,42.185523283512396,49.777102935352445,49.777102935352445,42.185523283512396,42.185523283512396,52.25009799911368,52.25009799911368
86,36.56152834353696,36.56152834353696,40.57502021313134,38.7540444585654,42.54505588575475,42.54505588575475,49.95153340103087,49.95153340103087,42.54505588575475,42.54505588575475,52.424485905467066,52.424485905467066
87,36.820415113037484,36.820415113037484,39.98690710771767,38.99003522709165,41.66439568365689,41.66439568365689,50.12207583401752,50.12207583401752,42.90210332361022,42.90210332361022,52.59498607751706,52.59498607751706
88,37.076119138848554,37.076119138848554,40.27339077685876,39.2226643238609,42.01897297449804,42.01897297449804,50.288694045418026,50.288694045418026,42.01897297449804,42.01897297449804,52.761562323286114,52.761562323286114
89,37.32861589668906,37.32861589668906,40.556897421728436,39.45190450225331,42.37103358646979,42.37103358646979,50.45135118773223,50.45135118773223,42.37103358646979,42.37103358646979,52.92417779223294,52.92417779223294
90,37.57788050078668,37.57788050078668,40.83740543205495,39.67772808989076,42.72056163029217,42.72056163029217,50.61000973635001,50.61000973635001,42.72056163029217,42.72056163029217,53.0827949567454,53.0827949567454
91,37.82388769549996,37.82388769549996,41.1148929014595,40.502053230987656,43.06754103780182,43.06754103780182,52.000998412200744,52.000998412200744,43.06754103780182,43.06754103780182,53.237375592942755,53.237375592942755
92,38.06661184668519,38.06661184668519,41.38933762098928,40.724432119347455,43.41195555851189,43.41195555851189,52.15152402246102,52.15152402246102,43.41195555851189,43.41195555851189,53.387880760749255,53.387880760749255
93,38.30602693279772,38.30602693279772,41.660717072469296,40.9433377530421,43.753788756096554,43.753788756096554,52.29793434676952,52.29793434676952,43.753788756096554,43.753788756096554,53.53427078320948,53.53427078320948
94,38.54210653572045,38.54210653572045,41.92900842166081,41.15874111875084,44.09302400478808,44.09302400478808,52.44018895123702,52.44018895123702,44.09302400478808,44.09302400478808,53.67650522500651,53.67650522500651
95,38.77482383130581,38.77482383130581,42.19418851122741,41.37061273378933,44.42964448569168,44.42964448569168,52.578246621273706,52.578246621273706,44.42964448569168,44.42964448569168,53.81454287014185,53.81454287014185
96,38.296221635183485,38.296221635183485,42.456233853493416,41.57892263430182,44.76363318301256,44.76363318301256,52.71206533839262,52.71206533839262,44.76363318301256,44.76363318301256,53.94834169873849,53.94834169873849
97,39.04184171684912,39.04184171684912,42.715120622993936,41.783640363060584,45.09497288019051,45.09497288019051,52.841602256094916,52.841602256094916,45.09497288019051,45.09497288019051,54.07785886292402,54.07785886292402
98,39.27119116317874,39.27119116317874,42.97082464880501,41.98473495685482,45.42364615594252,45.42364615594252,52.96681367478055,52.96681367478055,45.42364615594252,45.42364615594252,54.203050661745635,54.203050661745635
99,39.4971232429161,39.4971232429161,43.22332140664551,42.1821749334529,45.749635380208446,45.749635380208446,53.08765501565159,53.08765501565159,45.749635380208446,45.749635380208446,55.560099741801025,55.560099741801025
100,39.719609855645075,39.719609855645075,42.61948049620136,42.37592827811832,44.83560724263717,44.83560724263717,53.20408079353746,53.20408079353746,46.07292270999582,46.07292270999582,55.67648674124581,55.67648674124581
101,39.93862245397625,39.93862245397625,42.868767754393076,43.189767211806895,45.15620200379621,45.15620200379621,54.552223504603944,54.552223504603944,46.39349008512309,46.39349008512309,55.78841201790499,55.78841201790499
102,40.154132032479424,40.154132032479424,43.11479743959248,43.37980136335085,45.47405831263612,45.47405831263612,54.65965883441464,54.65965883441464,45.47405831263612,45.47405831263612,55.89582818521893,55.89582818521893
103,40.36610911625576,40.36610911625576,43.35754391939162,43.56608319969706,45.789157663866234,45.789157663866234,54.76253654571457,54.76253654571457,45.789157663866234,45.789157663866234,55.99868686179303,55.99868686179303
104,40.574523749130634,40.574523749130634,43.59698117395763,43.74857902294278,46.10148132154754,46.10148132154754,54.860807231497915,54.860807231497915,46.10148132154754,46.10148132154754,56.096938639361156,56.096938639361156
105,40.77934548145572,40.77934548145572,43.83308278686246,43.927254543887756,46.411010314387994,46.411010314387994,54.95442042445137,54.95442042445137,46.411010314387994,46.411010314387994,56.19053304936432,56.19053304936432
106,40.98054335749842,40.98054335749842,44.0658219356244,44.10207486601067,46.71772543091916,46.71772543091916,55.043324562072996,55.043324562072996,46.71772543091916,46.71772543091916,56.279418528072654,56.279418528072654
107,41.17808590240605,41.17808590240605,44.29517138195402,44.27300446887119,47.021607214545526,47.021607214545526,55.12746695025413,55.12746695025413,47.021607214545526,47.021607214545526,56.36354238016344,56.36354238016344
108,41.3719411087248,41.3719411087248,44.52110346169138,44.440007190899934,47.322635958463565,47.322635958463565,55.20679372523307,55.20679372523307,47.322635958463565,47.322635958463565,56.44285074067841,56.44285074067841
109,41.56207642245187,41.56207642245187,44.743590074420354,44.60304621156541,47.62079170044936,47.62079170044936,55.281249813834165,55.281249813834165,47.62079170044936,47.62079170044936,56.51728853525856,56.51728853525856
110,41.748458728602316,41.748458728602316,44.96260267275153,44.762084032870234,47.9160542175062,47.9160542175062,55.35077889188773,55.35077889188773,47.9160542175062,47.9160542175062,56.58679943856663,56.58679943856663
111,41.93105433627127,41.93105433627127,45.1781122512547,45.56516076132095,48.208403020369246,48.208403020369246,56.65132583078588,56.65132583078588,48.208403020369246,48.208403020369246,56.65132583078588,56.65132583078588
112,41.42770697039421,41.42770697039421,44.55786714117565,45.720159188610864,47.26082928700933,47.26082928700933,56.710808752087644,56.710808752087644,48.49781734786151,48.49781734786151,56.710808752087644,56.710808752087644
113,42.14750614453595,42.14750614453595,44.769865097980215,45.871079310655205,47.54731295615042,47.54731295615042,56.765187854943576,56.765187854943576,48.78427616109647,48.78427616109647,58.001163479059585,58.001163479059585
114,42.32630039129424,42.32630039129424,44.978300458879744,46.01788147896812,47.830819601020096,47.830819601020096,56.81440135415693,56.81440135415693,49.06775813752205,49.06775813752205,58.050359212008004,58.050359212008004
115,42.501238635259426,42.501238635259426,45.18314277571076,46.160525286330966,48.11132761134661,48.11132761134661,56.858385974469684,56.858385974469684,49.34824166479996,49.34824166479996,58.0943261802563,58.0943261802563
116,42.672285364037265,42.672285364037265,45.384361094207236,46.29896954448006,48.38881508075116,48.38881508075116,56.89707689560356,56.89707689560356,48.38881508075116,48.38881508075116,58.132999562437305,58.132999562437305
117,42.83940442400302,42.83940442400302,45.58192394096315,46.433172260914176,48.66325980028094,48.66325980028094,56.93040769456968,56.93040769456968,48.66325980028094,48.66325980028094,58.166312934486086,58.166312934486086
118,43.00255900246438,43.00255900246438,45.77579930995236,46.56309061478427,48.934639251760956,48.934639251760956,56.95831028507746,56.95831028507746,48.934639251760956,48.934639251760956,58.19419820904977,58.19419820904977
119,43.161711609163746,43.161711609163746,45.96595464858078,46.688680931811746,49.20293060095247,49.20293060095247,56.980714853857194,56.980714853857194,49.20293060095247,49.20293060095247,58.216585571809105,58.216585571809105
120,43.316824057086166,43.316824057086166,46.1523568432535,46.809898658193674,49.46811069051907,49.46811069051907,56.99754979369891,56.99754979369891,49.46811069051907,49.46811069051907,58.23340341451842,58.23340341451842
121,43.467857442543306,43.467857442543306,46.334972204439225,46.92669833343564,49.73015603278506,49.73015603278506,57.00874163299028,57.00874163299028,49.73015603278506,49.73015603278506,58.24457826454153,58.24457826454153
122,43.6147721244935,43.6147721244935,46.51376645119751,47.71872282351853,49.98904280228558,49.98904280228558,58.25003471066003,58.25003471066003,49.98904280228558,49.98904280228558,58.25003471066003,58.25003471066003
123,43.7575277030688,43.7575277030688,46.6887046951627,47.83105805214558,50.24474682809665,50.24474682809665,58.24969532489598,58.24969532489598,50.24474682809665,50.24474682809665,58.24969532489598,58.24969532489598
124,43.89608299726066,43.89608299726066,46.05135552972877,47.938881474228424,49.26055325291537,49.26055325291537,58.243480580085475,58.243480580085475,50.497243585937156,50.497243585937156,58.243480580085475,58.243480580085475
125,44.03039602173274,44.03039602173274,46.22242155005168,48.042144734665385,49.509840511107086,49.509840511107086,58.23130876290145,58.23130876290145,50.746508190034774,50.746508190034774,58.23130876290145,58.23130876290145
126,44.16042396270845,44.16042396270845,46.38955977251419,48.14079845114844,49.75587019630649,49.75587019630649,58.21309588201626,58.21309588201626,50.99251538474806,50.99251538474806,58.21309588201626,58.21309588201626
127,44.28612315289345,44.28612315289345,46.55273338570137,48.234792180749196,49.99861667610563,49.99861667610563,58.188755571050706,58.188755571050706,51.23523953593329,51.23523953593329,59.42450064513878,59.42450064513878
